del_date,he,system_demand
2018-01-01T00:00:00.000Z,1,10221
2018-01-01T00:00:00.000Z,2,10082
2018-01-01T00:00:00.000Z,3,9949
2018-01-01T00:00:00.000Z,4,9886
2018-01-01T00:00:00.000Z,5,9930
2018-01-01T00:00:00.000Z,6,9974
2018-01-01T00:00:00.000Z,7,10047
2018-01-01T00:00:00.000Z,8,10055
2018-01-01T00:00:00.000Z,9,10087
2018-01-01T00:00:00.000Z,10,10137
2018-01-01T00:00:00.000Z,11,10232
2018-01-01T00:00:00.000Z,12,10296
2018-01-01T00:00:00.000Z,13,10298
2018-01-01T00:00:00.000Z,14,10270
2018-01-01T00:00:00.000Z,15,10258
2018-01-01T00:00:00.000Z,16,10310
2018-01-01T00:00:00.000Z,17,10620
2018-01-01T00:00:00.000Z,18,10970
2018-01-01T00:00:00.000Z,19,10841
2018-01-01T00:00:00.000Z,20,10706
2018-01-01T00:00:00.000Z,21,10541
2018-01-01T00:00:00.000Z,22,10301
2018-01-01T00:00:00.000Z,23,10011
2018-01-01T00:00:00.000Z,24,9728
2018-01-02T00:00:00.000Z,1,9559
2018-01-02T00:00:00.000Z,2,9411
2018-01-02T00:00:00.000Z,3,9330
2018-01-02T00:00:00.000Z,4,9304
2018-01-02T00:00:00.000Z,5,9353
2018-01-02T00:00:00.000Z,6,9508
2018-01-02T00:00:00.000Z,7,9884
2018-01-02T00:00:00.000Z,8,10282
2018-01-02T00:00:00.000Z,9,10518
2018-01-02T00:00:00.000Z,10,10538
2018-01-02T00:00:00.000Z,11,10602
2018-01-02T00:00:00.000Z,12,10584
2018-01-02T00:00:00.000Z,13,10574
2018-01-02T00:00:00.000Z,14,10571
2018-01-02T00:00:00.000Z,15,10517
2018-01-02T00:00:00.000Z,16,10542
2018-01-02T00:00:00.000Z,17,10760
2018-01-02T00:00:00.000Z,18,11008
2018-01-02T00:00:00.000Z,19,10913
2018-01-02T00:00:00.000Z,20,10821
2018-01-02T00:00:00.000Z,21,10670
2018-01-02T00:00:00.000Z,22,10466
2018-01-02T00:00:00.000Z,23,10141
2018-01-02T00:00:00.000Z,24,9872
2018-01-03T00:00:00.000Z,1,9622
2018-01-03T00:00:00.000Z,2,9490
2018-01-03T00:00:00.000Z,3,9397
2018-01-03T00:00:00.000Z,4,9391
2018-01-03T00:00:00.000Z,5,9394
2018-01-03T00:00:00.000Z,6,9586
2018-01-03T00:00:00.000Z,7,9954
2018-01-03T00:00:00.000Z,8,10344
2018-01-03T00:00:00.000Z,9,10612
2018-01-03T00:00:00.000Z,10,10622
2018-01-03T00:00:00.000Z,11,10611
2018-01-03T00:00:00.000Z,12,10621
2018-01-03T00:00:00.000Z,13,10555
2018-01-03T00:00:00.000Z,14,10458
2018-01-03T00:00:00.000Z,15,10509
2018-01-03T00:00:00.000Z,16,10526
2018-01-03T00:00:00.000Z,17,10741
2018-01-03T00:00:00.000Z,18,10988
2018-01-03T00:00:00.000Z,19,10872
2018-01-03T00:00:00.000Z,20,10732
2018-01-03T00:00:00.000Z,21,10565
2018-01-03T00:00:00.000Z,22,10344
2018-01-03T00:00:00.000Z,23,9998
2018-01-03T00:00:00.000Z,24,9717
2018-01-04T00:00:00.000Z,1,9489
2018-01-04T00:00:00.000Z,2,9361
2018-01-04T00:00:00.000Z,3,9291
2018-01-04T00:00:00.000Z,4,9347
2018-01-04T00:00:00.000Z,5,9420
2018-01-04T00:00:00.000Z,6,9573
2018-01-04T00:00:00.000Z,7,9884
2018-01-04T00:00:00.000Z,8,10308
2018-01-04T00:00:00.000Z,9,10589
2018-01-04T00:00:00.000Z,10,10556
2018-01-04T00:00:00.000Z,11,10539
2018-01-04T00:00:00.000Z,12,10496
2018-01-04T00:00:00.000Z,13,10486
2018-01-04T00:00:00.000Z,14,10453
2018-01-04T00:00:00.000Z,15,10437
2018-01-04T00:00:00.000Z,16,10514
2018-01-04T00:00:00.000Z,17,10733
2018-01-04T00:00:00.000Z,18,10994
2018-01-04T00:00:00.000Z,19,10919
2018-01-04T00:00:00.000Z,20,10866
2018-01-04T00:00:00.000Z,21,10748
2018-01-04T00:00:00.000Z,22,10525
2018-01-04T00:00:00.000Z,23,10230
2018-01-04T00:00:00.000Z,24,9895
2018-01-05T00:00:00.000Z,1,9623
2018-01-05T00:00:00.000Z,2,9544
2018-01-05T00:00:00.000Z,3,9448
2018-01-05T00:00:00.000Z,4,9411
2018-01-05T00:00:00.000Z,5,9461
2018-01-05T00:00:00.000Z,6,9641
2018-01-05T00:00:00.000Z,7,9976
2018-01-05T00:00:00.000Z,8,10411
2018-01-05T00:00:00.000Z,9,10571
2018-01-05T00:00:00.000Z,10,10577
2018-01-05T00:00:00.000Z,11,10637
2018-01-05T00:00:00.000Z,12,10689
2018-01-05T00:00:00.000Z,13,10645
2018-01-05T00:00:00.000Z,14,10574
2018-01-05T00:00:00.000Z,15,10570
